collection_no	occurrences.genus_reso	occurrences.genus_name	original.genus_reso	original.genus_name	collections.reference_no	collections.country	collections.state	collections.county	collections.latdec	collections.lngdec	collections.period	collections.10_my_bin	collections.ma_max	collections.ma_min
13341	"n. gen."	Apatosaurus			7811	"United States"	Colorado	Jefferson	39.653423	-105.187332	Jurassic		155.700	145.500
13341		Allosaurus			7811	"United States"	Colorado	Jefferson	39.653423	-105.187332	Jurassic		155.700	145.500
13341		Apatosaurus		Atlantosaurus	7811	"United States"	Colorado	Jefferson	39.653423	-105.187332	Jurassic		155.700	145.500
13341		Apatosaurus		Apatosaurus	7811	"United States"	Colorado	Jefferson	39.653423	-105.187332	Jurassic		155.700	145.500
13342		Hispanosauropus			5982	Spain	Gijón		43.483333	-5.266667	Jurassic	"Jurassic 5"	155.700	150.800
13343	"n. gen."	Hispanosauropus			5982	Spain	Gijón		43.468056	-5.76468	Jurassic	"Jurassic 5"	155.700	150.800
13347	?	Macroolithus		Dinosauria	5987	Mongolia	Ovorhangai		43.720556	99.926944	Cretaceous		89.300	65.000
13349		Macroolithus		Dinosauria	14364	Kazakstan	"Kokshetau Oblysy"		47.5919	84.47	Cretaceous		83.500	65.000
13350		Spheroolithus		Dinosauria	5987	Mongolia	Ovorhangai		43.938889	101.331944	Cretaceous		99.600	89.300
13352		Diplodocus			10490	"United States"	Wyoming	Albany	42.196389	-105.856111	Jurassic		155.700	145.500
13352		Stegosaurus			10490	"United States"	Wyoming	Albany	42.196389	-105.856111	Jurassic		155.700	145.500
13352		Apatosaurus		Brontosaurus	10490	"United States"	Wyoming	Albany	42.196389	-105.856111	Jurassic		155.700	145.500
13352		Camarasaurus		Morosaurus	10490	"United States"	Wyoming	Albany	42.196389	-105.856111	Jurassic		155.700	145.500
13409		Dilophosaurus		Megalosaurus	13844	"United States"	Arizona	Coconino	36.145278	-110.32	Jurassic		199.600	175.600
13410		Dilophosaurus		Megalosaurus	13844	"United States"	Arizona	Coconino	36.100000	-110.3	Jurassic		199.600	175.600
13411	"n. gen."	Graciliceratops		Microceratops	6048	Mongolia	Omnogov		43.938889	101.331944	Cretaceous		99.600	83.500
13776		Bagaceratops	?	Protoceratops	9899	Mongolia	Omnogov		43.487500	101.125000	Cretaceous	"Cretaceous 7"	83.500	70.600
13776	"n. gen."	Saichania		Ankylosauridae	9899	Mongolia	Omnogov		43.487500	101.125000	Cretaceous	"Cretaceous 7"	83.500	70.600
13776	"n. gen."	Tylocephale		Pachycephalosauridae	9899	Mongolia	Omnogov		43.487500	101.125000	Cretaceous	"Cretaceous 7"	83.500	70.600
13776	"n. gen."	Hulsanpes		Theropoda	9899	Mongolia	Omnogov		43.487500	101.125000	Cretaceous	"Cretaceous 7"	83.500	70.600
13776	"n. gen."	Lamaceratops		Protoceratops	9899	Mongolia	Omnogov		43.487500	101.125000	Cretaceous	"Cretaceous 7"	83.500	70.600
13776	"n. gen."	Gobipteryx			9899	Mongolia	Omnogov		43.487500	101.125000	Cretaceous	"Cretaceous 7"	83.500	70.600
